,game_year,pitcher,player_name,diff_rv,slot_rarity
0,2023,425794,"Wainwright, Adam",2.201112445311016e-05,0.15145064890036236
1,2023,425844,"Greinke, Zack",2.9958446610140912e-05,0.16458233001415132
2,2023,434378,"Verlander, Justin",0.00014359729815156399,0.07632971651797657
3,2023,445276,"Jansen, Kenley",0.0009955823643970152,0.1432040600011129
4,2023,445926,"Chavez, Jesse",-0.00031559133655151934,0.040386565493079694
5,2023,446372,"Kluber, Corey",3.2423641531018586e-05,0.11396673487041314
6,2023,448179,"Hill, Rich",0.0002490861152448986,0.14787503919426956
7,2023,450203,"Morton, Charlie",-0.00023216991964308066,0.04230967736816364
8,2023,453178,"Kennedy, Ian",0.00011233152822436439,0.15228095684277296
9,2023,453268,"Bard, Daniel",-0.00042604064394763445,0.12125585872606287
10,2023,453286,"Scherzer, Max",-7.522021441859392e-05,0.0948129875227131
11,2023,455119,"Martin, Chris",-0.0004731285049833609,0.17341964683749478
12,2023,456501,"Cueto, Johnny",-0.00044112124426780454,0.13613960509510784
13,2023,456713,"Bush, Matt",0.0003062803346331213,0.08209946320585533
14,2023,458681,"Lynn, Lance",0.00031875950884615624,0.12449567314646823
15,2023,471911,"Carrasco, Carlos",0.0001217809383413957,0.14300077686561738
16,2023,472551,"Abad, Fernando",-0.0007117670963898645,0.1695390842180116
17,2023,472610,"García, Luis",3.0032379188836878e-05,0.15757769753459683
18,2023,476595,"Luetge, Lucas",0.00036000287398664136,0.15259765683507834
19,2023,477132,"Kershaw, Clayton",0.00038214447429769086,0.04506568262187864
20,2023,488984,"Hunter, Tommy",-0.0004416191491475248,0.17321708896488072
21,2023,489119,"Miley, Wade",-4.091170642212175e-05,0.1200478952140107
22,2023,489446,"Yates, Kirby",-2.6593826455124166e-05,0.04516050573628848
23,2023,493603,"Ottavino, Adam",0.00011090503916090628,0.05420682582089242
24,2023,500779,"Quintana, Jose",-0.00035252911912649786,0.16025957805753044
25,2023,502043,"Gibson, Kyle",7.280658505886485e-05,0.1684378856989722
